"gene","baseMean","log2FC","lfcSE","stat","pvalue","padj","regulation"
"ENSG00000099953",24237.7887167101,6.28004756714978,0.142553654316039,44.0539219936588,0,0,"Up"
"ENSG00000101605",560.445288669335,-4.76277418072974,0.121935155938936,-39.0598933019359,0,0,"Down"
"ENSG00000119927",4820.76224011772,-4.43901975838514,0.106042768170148,-41.8606552335813,0,0,"Down"
"ENSG00000123500",8530.46206268032,7.1269155353564,0.154855922495865,46.022879980885,0,0,"Up"
"ENSG00000117650",1467.5136764242,4.25410301332586,0.111672368304839,38.0944998113871,1.58006738943972e-317,8.21034616880907e-314,"Up"
"ENSG00000230838",303.522861550591,5.56009265303754,0.152160874877371,36.5408825200204,2.48887025259096e-292,1.07772230054276e-288,"Up"
"ENSG00000022267",9108.95081042777,-5.02890853158434,0.139705517786591,-35.9964918441253,9.49220332178298e-284,3.52309906433205e-280,"Down"
"ENSG00000079308",15072.017842142,-3.11010698105811,0.0873995915482749,-35.5849143681667,2.39768612956544e-277,7.78678541652995e-274,"Down"
"ENSG00000060718",11957.7341036527,6.1903883517893,0.175313277424456,35.310436509618,4.06127424844144e-273,1.17239962498619e-269,"Up"
"ENSG00000090889",1537.14996463544,3.85257304914333,0.112183800767641,34.3416163722507,1.87883339417325e-258,4.88139704140152e-255,"Up"
"ENSG00000133800",753.44984806943,-4.98246070547576,0.145718482950098,-34.1923728864378,3.13915772354801e-256,7.41440516504553e-253,"Down"
"ENSG00000127564",923.819140343264,4.0114069543711,0.11800627129654,33.9931675689571,2.8108681993061e-253,6.08576389051432e-250,"Up"
"ENSG00000203805",479.274590412314,4.99194550754853,0.150055830528928,33.2672545275486,1.14937019875812e-242,2.29706054876422e-239,"Up"
"ENSG00000105974",8555.32874447322,-3.3898108213511,0.10277650866549,-32.9823503966652,1.4547763830543e-238,2.69975322915241e-235,"Down"
"ENSG00000095637",6580.37308383809,-3.67344201936243,0.111875832927044,-32.8349914655646,1.86551690800817e-236,3.23119965246402e-233,"Down"
"ENSG00000170145",3669.04162335893,-2.44736879121628,0.0745466038194443,-32.8300508114889,2.19438650117906e-236,3.56327223044582e-233,"Down"
"ENSG00000134962",365.902970770014,-4.71483376469379,0.143627278524614,-32.8268683576413,2.43628497908955e-236,3.72336000245444e-233,"Down"
"ENSG00000183856",2235.71924955084,3.70288083321827,0.114062908580273,32.4634964977447,3.49383431452303e-231,5.04296162920127e-228,"Up"
"ENSG00000169418",1174.51944621223,-3.6122746506997,0.111439251445147,-32.4147425961288,1.70139488154862e-230,2.32652317986919e-227,"Down"
"ENSG00000163815",444.627346128836,-3.99235815284118,0.123716831523487,-32.2701293241839,1.83654584561531e-228,2.38576488074657e-225,"Down"
"ENSG00000173641",977.159911706381,-5.15190780489412,0.159929013072976,-32.2137159849994,1.13419405445868e-227,1.40321408232814e-224,"Down"
"ENSG00000056998",2249.93422729371,-4.12392850066962,0.128834474563979,-32.0095107666364,8.04023353096652e-225,9.49515033491096e-222,"Down"
"ENSG00000181856",273.565298230296,-4.64038073097788,0.145184995279053,-31.9618478621625,3.69836432516529e-224,4.1777045013965e-221,"Down"
"ENSG00000175063",2255.66949412112,4.19442739016234,0.131401534424226,31.9206880539215,1.3789028052013e-223,1.49271974091395e-220,"Up"
"ENSG00000131471",4790.64037478646,-3.98941827462491,0.125158309343533,-31.8749773430926,5.93454851122687e-223,6.16742019480741e-220,"Down"
"ENSG00000120049",765.590976616005,-5.04112478197367,0.158334329038728,-31.8384826119459,1.9001864226759e-222,1.89879782490548e-219,"Down"
"ENSG00000029559",162.844732105479,6.96478677198253,0.219993292470674,31.6590869374391,5.68604998669366e-220,5.47145424830696e-217,"Up"
"ENSG00000158402",341.98679415686,3.412883806035,0.107993838457092,31.6025789507519,3.40283303290328e-219,3.15746446528072e-216,"Up"
"ENSG00000088325",4451.73356721314,3.57489780496187,0.113287544184669,31.5559652271609,1.48516197110706e-218,1.33055148866664e-215,"Up"
"ENSG00000105011",1517.68378078301,3.06622394632468,0.0972300355214753,31.5357690643591,2.8102353714555e-218,2.43375750619285e-215,"Up"
"ENSG00000123612",565.449056274377,-5.2140162623127,0.165698906928088,-31.4668114532315,2.47223234153042e-217,2.07196995049361e-214,"Down"
"ENSG00000143228",1001.67896647366,3.78179332408388,0.120463239616898,31.3937541121333,2.46223399389867e-216,1.99910316860879e-213,"Up"
"ENSG00000276043",1233.41461673454,3.35039809402326,0.106947433731876,31.327522102334,1.96928343432856e-215,1.55042281537243e-212,"Up"
"ENSG00000025423",294.276364062609,3.01864699450944,0.0971930365043812,31.0582640801984,8.82391446482414e-212,6.74276828560576e-209,"Up"
"ENSG00000077152",1332.89132436988,3.21937753065978,0.103781067705327,31.0208557479942,2.82136654455169e-211,2.09434069125707e-208,"Up"
"ENSG00000172901",147.449249871922,-5.05919857323711,0.163139123655977,-31.0115590905453,3.76545057648448e-211,2.71750476187898e-208,"Down"
"ENSG00000152253",417.865138447565,2.82082832476857,0.0909929031187085,31.0005311193175,5.30238244761839e-211,3.72327563166414e-208,"Up"
"ENSG00000135437",83.4440408266018,-4.21319461563679,0.136570112084126,-30.8500487503553,5.59320699939212e-209,3.82413450134754e-206,"Down"
"ENSG00000123485",872.657528416297,3.53337699061927,0.114544508276246,30.8471968127695,6.10814684520637e-209,4.06912213295658e-206,"Up"
"ENSG00000148180",36636.3454961381,-2.56692489667494,0.0835157533754747,-30.7358168121218,1.89197439260028e-207,1.2288846673537e-204,"Down"
"ENSG00000145708",62.2255124183977,-3.8961039268023,0.126965092920583,-30.6864181105222,8.63924648337626e-207,5.47454299718533e-204,"Down"
"ENSG00000165410",1300.73185995372,-2.25802607197322,0.0738633952620715,-30.5702989141187,3.03881839477874e-205,1.87979858844635e-202,"Down"
"ENSG00000166803",371.768426576741,3.25401042829061,0.106833809682958,30.4586201498127,9.21058018586431e-204,5.5651182281149e-201,"Up"
"ENSG00000137745",1659.32602001164,6.18238751934603,0.203023104976749,30.4516449989969,1.13931298099738e-203,6.72738421802112e-201,"Up"
"ENSG00000076555",3706.24261370566,-3.66110117355669,0.120324823677182,-30.4268151963308,2.42793105015653e-203,1.40177948031371e-200,"Down"
"ENSG00000115306",21326.145710891,-2.05003861928123,0.0674413377066635,-30.3973599722752,5.95243739839738e-203,3.36196252277744e-200,"Down"
"ENSG00000124743",282.140594102183,-3.8651816132536,0.127385829896675,-30.3423199926453,3.17268895419419e-202,1.75382195146637e-199,"Down"
"ENSG00000279204",48.3939784427028,-3.6228308494008,0.11990315003233,-30.21464280483,1.52118292051188e-200,8.233719470379e-198,"Down"
"ENSG00000170312",2616.34195118646,3.16303479113609,0.104878789486945,30.1589559396071,8.18527831671898e-200,4.34003501931992e-197,"Up"
"ENSG00000169607",622.492562690238,3.3546758078799,0.111339169055908,30.130239306846,1.94712515351309e-199,1.01176517226847e-196,"Up"
"ENSG00000135451",752.043810816876,3.52660315041683,0.117662170052617,29.972276976022,2.2555536487583e-197,1.14904979114489e-194,"Up"
"ENSG00000183549",179.063953558834,-3.77938552906034,0.126445196016076,-29.8895145734113,2.69317877278102e-196,1.34560534030046e-193,"Down"
"ENSG00000143476",1713.29601297565,3.04926751934822,0.102153991085006,29.8497149936199,8.85382692434968e-196,4.34021277965149e-193,"Up"
"ENSG00000068976",109.200867522569,-3.37406227595932,0.113111576366377,-29.8295044976693,1.61933212670549e-195,7.79108666369171e-193,"Down"
"ENSG00000165028",272.646878950371,-2.82376570559185,0.0951638848214148,-29.6726611244481,1.73041941722402e-193,8.17418670525406e-191,"Down"
"ENSG00000138180",1348.72003428722,3.43564462697516,0.115842289419695,29.6579482690287,2.67866891259134e-193,1.24275887532207e-190,"Up"
"ENSG00000112984",1685.21174176244,3.38502092558233,0.114308097198357,29.6131333522975,1.01243465062219e-192,4.61474818558159e-190,"Up"
"ENSG00000122641",4434.08644462839,3.40867923321375,0.115162624972176,29.5988323819235,1.54687103958907e-192,6.92918215164889e-190,"Up"
"ENSG00000168078",825.60765993969,3.46484359485889,0.117135754448488,29.5797266272152,2.7242794050657e-192,1.1996525970002e-189,"Up"
"ENSG00000121691",6320.44303298188,-2.02952273498814,0.0686287713042988,-29.5724766219298,3.37662071522388e-192,1.46213304670386e-189,"Down"
"ENSG00000117724",6525.62328357193,3.27091273886703,0.110801365707303,29.5205092282669,1.57066545409956e-191,6.68974740376406e-189,"Up"
"ENSG00000104415",1804.70919108751,3.51471803408076,0.119220998538662,29.4806961622703,5.0903943959971e-191,2.13312156132904e-188,"Up"
"ENSG00000166851",1372.73192851148,3.3962421463689,0.115335752826865,29.4465685021983,1.39298745965394e-190,5.74463606178871e-188,"Up"
